"Name","Website","Sic","Industry","AnnualRevenue","Ownership","TickerSymbol","Rating","id"
"Navarro-Franklin","https://moss.org/","878","Chemicals","97583","Private","Particularly small.","Hot","75"
"Taylor Scott","https://nolan.org/","13760","Chemicals","46548","Subsidiary","Picture end.","Warm","76"
"Davenport and Sons","https://reilly-stout.com/","80874","Hospitality","73330","Private","Understand answer.","Cold","77"
"Collin Saunders","https://schwartz.info/","61477","Education","6458","Subsidiary","Pattern both within.","Hot","78"
"Hurst, Moody and Church","https://valencia.com/","64925","Biotechnology","65694","Subsidiary","Position good.","Cold","79"
"Kevin Bennett II","https://www.burch.com/","92168","Media","76141","Public","Help main decision.","Cold","80"
"Hayden and Sons","https://www.lloyd.com/","8912","Manufacturing","97381","Private","Country why program.","Cold","81"
"Mr. Pedro Guerrero III","https://www.reyes.net/","68100","Energy","46270","Subsidiary","Star represent them.","Cold","82"
"Lamb Inc","https://www.thompson.biz/","97114","Other","83515","Public","Situation drop.","Hot","83"
"Ms. Karen Porter","http://franco.biz/","76909","Education","52334","Private","Throughout common.","Cold","84"
"Nixon, Rose and Huffman","http://fritz.com/","87903","Hospitality","68657","Public","Peace with.","Cold","85"
"Allison Krueger PhD","http://moses-sullivan.net/","9579","Insurance","34986","Other","However.","Warm","86"
"Chung PLC","http://olsen.com/","5777","Utilities","26459","Subsidiary","Us mention effect.","Warm","87"
"Kendra Hansen","http://www.andersen-meyers.info/","83989","Transportation","12962","Other","Public pick late.","Warm","88"
"Burnett and Sons","http://www.baker-daugherty.biz/","17016","Shipping","20370","Private","Little through.","Hot","89"
"Glen Flynn","http://www.moss.net/","89490","Electronics","47358","Subsidiary","Hospital room.","Hot","90"
"Baird, Petersen and Estrada","http://yu.com/","96613","Food & Beverage","29114","Private","Investment service.","Cold","91"
"Ms. Cheyenne Stevens","https://becker.com/","73869","Agriculture","4677","Subsidiary","Lawyer edge when.","Hot","92"
"Evans, Sullivan and Barker","https://moss.org/","878","Chemicals","97583","Private","Particularly small.","Hot","93"
"Bryce Callahan","https://nolan.org/","13760","Chemicals","46548","Subsidiary","Picture end.","Warm","94"
"Shannon, Reed and Buck","https://reilly-stout.com/","80874","Hospitality","73330","Private","Understand answer.","Cold","95"
"Luke Clark Jr.","https://schwartz.info/","61477","Education","6458","Subsidiary","Pattern both within.","Hot","96"
"Dickerson-Ward","https://valencia.com/","64925","Biotechnology","65694","Subsidiary","Position good.","Cold","97"
"Miss Nicole Oliver DVM","https://www.burch.com/","92168","Media","76141","Public","Help main decision.","Cold","98"
"Morse-Savage","https://www.lloyd.com/","8912","Manufacturing","97381","Private","Country why program.","Cold","99"
"Mrs. Candice Werner DDS","https://www.reyes.net/","68100","Energy","46270","Subsidiary","Star represent them.","Cold","100"
